path_segment,x1,y1,theta1,x2,y2,theta2
0,0.0,0.0,0.0,-1.0599999999999434,-3.4640259033042666e-07,0.0
1,0.019999720036233067,9.023580655790015e-10,8.512812676997328e-10,-1.0400002799637105,-3.455002322648476e-07,8.512812676997328e-10
2,0.039999440072466134,1.804716575247213e-09,1.7025627574440705e-09,-1.0200005599274773,-3.445978737551795e-07,1.7025627574440705e-09
3,0.0599991601086992,2.7070746408262126e-09,2.5538440251438033e-09,-1.000000839891244,-3.4369551568960046e-07,2.5538440251438033e-09
4,0.07999888014493227,3.609433150494426e-09,3.405125514888141e-09,-0.9800011198550113,-3.427931571799322e-07,3.405125514888141e-09
5,0.09999860018116533,4.511791216073425e-09,4.256406782587874e-09,-0.9600013998187781,-3.4189079911435325e-07,4.256406782587874e-09
6,0.1199983202173984,5.414149281652425e-09,5.1076882723322115e-09,-0.9400016797825451,-3.4098844104877427e-07,5.1076882723322115e-09
7,0.13999804025363147,6.316507791320635e-09,5.958969540031944e-09,-0.9200019597463119,-3.4008608253910603e-07,5.958969540031944e-09
8,0.15999776028986454,7.218865856899642e-09,6.810251029776282e-09,-0.9000022397100789,-3.3918372447352705e-07,6.810251029776282e-09
9,0.1799974803260976,8.121224366567852e-09,7.661532297476015e-09,-0.8800025196738459,-3.382813659638588e-07,7.661532297476015e-09
10,0.19999720036233065,9.02358243214685e-09,8.512813787220352e-09,-0.8600027996376127,-3.373790078982798e-07,8.512813787220352e-09
11,0.21999692039856375,9.92594049772585e-09,9.364095054920085e-09,-0.8400030796013798,-3.364766498327008e-07,9.364095054920085e-09
12,0.2399966404347968,1.082829900739406e-08,1.0215376544664423e-08,-0.8200033595651467,-3.355742913230326e-07,1.0215376544664423e-08
13,0.25999636047102986,1.173065707297306e-08,1.1066657812364156e-08,-0.8000036395289135,-3.346719332574536e-07,1.1066657812364156e-08
14,0.27999608050726293,1.263301558264127e-08,1.1917939302108493e-08,-0.7800039194926806,-3.3376957474778535e-07,1.1917939302108493e-08
15,0.29999580054349595,1.3535373648220284e-08,1.2769220569808226e-08,-0.7600041994564474,-3.328672166822064e-07,1.2769220569808226e-08
16,0.3199955205797291,1.4437731713799284e-08,1.3620502059552564e-08,-0.740004479420214,-3.3196485861662724e-07,1.3620502059552564e-08
17,0.33999524061596215,1.5340090223467494e-08,1.4471783327252297e-08,-0.7200047593839813,-3.3106250010695916e-07,1.4471783327252297e-08
18,0.3599949606521952,1.6242448289046494e-08,1.5323064816996634e-08,-0.7000050393477483,-3.301601420413802e-07,1.5323064816996634e-08
19,0.3799946806884287,1.714480635462564e-08,1.6174346084696367e-08,-0.6800053193115148,-3.2925778397580104e-07,1.6174346084696367e-08
20,0.3999944007246613,1.80471648642937e-08,1.7025627574440705e-08,-0.6600055992752817,-3.283554254661328e-07,1.7025627574440705e-08
21,0.4199941207608944,1.8949522929872714e-08,1.7876908842140438e-08,-0.6400058792390491,-3.27453067400554e-07,1.7876908842140438e-08
22,0.43999384079712794,1.985188143954107e-08,1.872819033188478e-08,-0.6200061592028155,-3.265507088908856e-07,1.872819033188478e-08
23,0.45999356083336096,2.0754239505120056e-08,1.957947159958451e-08,-0.6000064391665825,-3.256483508253066e-07,1.957947159958451e-08
24,0.4799932808695936,2.165659757069891e-08,2.043075308932885e-08,-0.5800067191303494,-3.2474599275972763e-07,2.043075308932885e-08
25,0.4999930009058271,2.2558956080367266e-08,2.128203435702858e-08,-0.5600069990941168,-3.2384363425005955e-07,2.128203435702858e-08
26,0.5199927209420602,2.346131414594628e-08,2.2133315846772913e-08,-0.5400072790578833,-3.229412761844804e-07,2.2133315846772913e-08
27,0.5399924409782932,2.4363672655614477e-08,2.2984597114472646e-08,-0.5200075590216502,-3.220389176748122e-07,2.2984597114472646e-08
28,0.5599921610145263,2.526603072119349e-08,2.3835878604216987e-08,-0.5000078389854171,-3.211365596092332e-07,2.3835878604216987e-08
29,0.5799918810507594,2.6168388786772477e-08,2.468715987191672e-08,-0.48000811894918405,-3.2023420154365417e-07,2.468715987191672e-08
30,0.5999916010869923,2.70707472964407e-08,2.5538441361661057e-08,-0.460008398912951,-3.19331843033986e-07,2.5538441361661057e-08
31,0.6199913211232255,2.7973105362019713e-08,2.638972262936079e-08,-0.44000867887671796,-3.1842948496840695e-07,2.638972262936079e-08
32,0.6399910411594586,2.887546387168791e-08,2.7241004119105128e-08,-0.4200089588404849,-3.1752712645873877e-07,2.7241004119105128e-08
33,0.6599907611956917,2.977782193726692e-08,2.8092285386804864e-08,-0.4000092388042518,-3.1662476839315974e-07,2.8092285386804864e-08
34,0.6799904812319247,3.068018000284591e-08,2.8943566876549198e-08,-0.3800095187680187,-3.1572241032758076e-07,2.8943566876549198e-08
35,0.6999902012681577,3.158253851251413e-08,2.979484814424893e-08,-0.3600097987317857,-3.148200518179125e-07,2.979484814424893e-08
36,0.7199899213043909,3.248489657809312e-08,3.064612963399327e-08,-0.3400100786955526,-3.1391769375233354e-07,3.064612963399327e-08
37,0.739989641340624,3.3387255087761314e-08,3.1497410901693e-08,-0.32001035865931954,-3.130153352426653e-07,3.1497410901693e-08
38,0.7599893613768569,3.428961315334033e-08,3.234869239143734e-08,-0.30001063862308647,-3.121129771770863e-07,3.234869239143734e-08
39,0.7799890814130901,3.519197121891934e-08,3.319997365913707e-08,-0.28001091858685345,-3.1121061911150735e-07,3.319997365913707e-08
40,0.799988801449323,3.609432972858756e-08,3.405125514888141e-08,-0.2600111985506203,-3.103082606018391e-07,3.405125514888141e-08
41,0.8199885214855562,3.699668779416658e-08,3.490253641658114e-08,-0.24001147851438728,-3.0940590253626013e-07,3.490253641658114e-08
42,0.8399882415217892,3.7899046303834744e-08,3.575381790632548e-08,-0.2200117584781542,-3.085035440265919e-07,3.575381790632548e-08
43,0.8599879615580223,3.880140436941376e-08,3.660509917402521e-08,-0.20001203844192114,-3.076011859610129e-07,3.660509917402521e-08
44,0.8799876815942554,3.970376243499277e-08,3.745638066376955e-08,-0.1800123184056881,-3.066988278954339e-07,3.745638066376955e-08
45,0.8999874016304884,4.0606120944661e-08,3.830766193146929e-08,-0.160012598369455,-3.057964693857657e-07,3.830766193146929e-08
46,0.9199871216667215,4.1508479010239954e-08,3.915894342121362e-08,-0.14001287833322196,-3.0489411132018667e-07,3.915894342121362e-08
47,0.9399868417029545,4.241083751990818e-08,4.001022468891335e-08,-0.12001315829698887,-3.039917528105185e-07,4.001022468891335e-08
48,0.9599865617391876,4.331319558548719e-08,4.086150617865769e-08,-0.1000134382607558,-3.0308939474493945e-07,4.086150617865769e-08
49,0.9799862817754208,4.421555365106621e-08,4.1712787446357424e-08,-0.08001371822452275,-3.021870366793605e-07,4.1712787446357424e-08
50,0.9999860018116538,4.511791216073443e-08,4.256406893610176e-08,-0.060013998188289674,-3.012846781696923e-07,4.256406893610176e-08
51,1.019985721847887,4.602027022631339e-08,4.3415350203801495e-08,-0.04001427815205617,-3.003823201041131e-07,4.3415350203801495e-08
52,1.0399854418841203,4.692262873598177e-08,4.426663169354583e-08,-0.020014558115823543,-2.9947996159444507e-07,4.426663169354583e-08
53,1.0599851619203529,4.782498680156062e-08,4.5117912961245565e-08,-1.4838079590034019e-05,-2.985776035288659e-07,4.5117912961245565e-08
54,1.0799848819565865,4.872734486713974e-08,4.596919445098991e-08,0.019984881956642588,-2.9767524546328707e-07,4.596919445098991e-08
55,1.099984601992819,4.9629703376807804e-08,4.6820475718689636e-08,0.039984601992876095,-2.967728869536187e-07,4.6820475718689636e-08
56,1.1199843220290526,5.053206144238698e-08,4.7671757208433974e-08,0.05998432202910872,-2.9587052888803985e-07,4.7671757208433974e-08
57,1.1399840420652854,5.143441950796583e-08,4.8523038476133706e-08,0.07998404206534222,-2.949681708224607e-07,4.8523038476133706e-08
58,1.1599837621015188,5.233677801763416e-08,4.9374319965878044e-08,0.09998376210157485,-2.9406581231279263e-07,4.9374319965878044e-08
59,1.1799834821377513,5.3239136083213015e-08,5.022560123357778e-08,0.11998348213780836,-2.931634542472135e-07,5.022560123357778e-08
60,1.1999832021739847,5.41414945928814e-08,5.107688272332212e-08,0.139983202174041,-2.922610957375454e-07,5.107688272332212e-08
61,1.2199829222102176,5.504385265846025e-08,5.192816399102184e-08,0.1599829222102745,-2.913587376719663e-07,5.192816399102184e-08
62,1.239982642246451,5.5946210724039427e-08,5.2779445480766185e-08,0.17998264224650756,-2.9045637960638725e-07,5.2779445480766185e-08
63,1.2599823622826836,5.684856923370749e-08,5.363072674846592e-08,0.19998236228274063,-2.8955402109671906e-07,5.363072674846592e-08
64,1.2799820823189172,5.775092729928661e-08,5.4482008238210256e-08,0.2199820823189737,-2.886516630311401e-07,5.4482008238210256e-08
65,1.2999818023551506,5.865328580895499e-08,5.533328950590999e-08,0.23998180235520675,-2.8774930452147185e-07,5.533328950590999e-08
66,1.3199815223913833,5.955564387453384e-08,5.6184570995654326e-08,0.2599815223914394,-2.86846946455893e-07,5.6184570995654326e-08
67,1.339981242427616,6.04580019401127e-08,5.703585226335406e-08,0.2799812424276729,-2.8594458839031384e-07,5.703585226335406e-08
68,1.3599809624638495,6.136036044978103e-08,5.7887133753098396e-08,0.2999809624639055,-2.8504222988064576e-07,5.7887133753098396e-08
69,1.379980682500082,6.226271851535987e-08,5.8738415020798136e-08,0.319980682500139,-2.841398718150666e-07,5.8738415020798136e-08
70,1.3999804025363154,6.316507702502826e-08,5.958969651054247e-08,0.3399804025363721,-2.8323751330539844e-07,5.958969651054247e-08
71,1.4199801225725481,6.406743509060712e-08,6.04409777782422e-08,0.3599801225726052,-2.823351552398194e-07,6.04409777782422e-08
